,target,feature,weight,,,,,,,,,
481,italian,pinenuts,1.326600237,,,,,,,,,
482,italian,penne,1.324393473,,,,,,,,,
483,italian,hash,1.30499245,,,,,,,,,
484,italian,ladyfinger,1.283290778,,,,,,,,,
485,italian,spaghettini,1.279147582,,,,,,,,,
486,italian,curry,-1.326535446,,,,,,,,,
487,italian,feta,-1.373192766,,,,,,,,,
488,italian,cucumber,-1.373872343,,,,,,,,,
489,italian,saffron,-1.37464061,,,,,,,,,
490,italian,onion,-1.473570654,,,,,,,,,
491,italian,uncook,-1.515778368,,,,,,,,,
492,italian,cumin,-1.520945892,,,,,,,,,
493,italian,andouille,-1.531038354,,,,,,,,,
494,italian,gruyère,-1.531848927,,,,,,,,,
495,italian,cayenne,-1.556783991,,,,,,,,,
496,italian,niçoise,-1.701145907,,,,,,,,,
497,italian,grit,-1.702814033,,,,,,,,,
498,italian,tortilla,-1.853136308,,,,,,,,,
499,italian,cajun,-2.346124052,,,,,,,,,
500,jamaican,jerk,3.274435961,,,,,,,,,
501,jamaican,thyme,2.735672989,,,,,,,,,
502,jamaican,allspice,2.349228867,,,,,,,,,
503,jamaican,jamaican,1.845114579,,,,,,,,,
504,jamaican,nutmeg,1.787431963,,,,,,,,,
505,jamaican,curry,1.635737433,,,,,,,,,
506,jamaican,rum,1.510282811,,,,,,,,,
507,jamaican,lime,1.482716574,,,,,,,,,
508,jamaican,breadfruit,1.38889095,,,,,,,,,
509,jamaican,pepper,1.383216443,,,,,,,,,
510,jamaican,coconut,1.287030538,,,,,,,,,
511,jamaican,scallion,1.259854939,,,,,,,,,
512,jamaican,okra,1.055848464,,,,,,,,,
513,jamaican,codfish,1.048991303,,,,,,,,,
514,jamaican,sorrel,0.996047393,,,,,,,,,
515,jamaican,callaloo,0.957089571,,,,,,,,,
516,jamaican,caribbean,0.953687343,,,,,,,,,
517,jamaican,cold,0.939690709,,,,,,,,,
518,jamaican,season,0.928802263,,,,,,,,,
519,jamaican,scotch,0.926023423,,,,,,,,,
520,jamaican,crumb,0.9252972,,,,,,,,,
521,jamaican,snapper,0.92170948,,,,,,,,,
522,jamaican,habanero,0.91430238,,,,,,,,,
523,jamaican,salted,0.89847507,,,,,,,,,
524,jamaican,ackee,0.883295728,,,,,,,,,
525,jamaican,cho,0.876769241,,,,,,,,,
526,jamaican,cornmeal,0.85658341,,,,,,,,,
527,jamaican,bonnet,0.820200985,,,,,,,,,
528,jamaican,banana,0.805414947,,,,,,,,,
529,jamaican,pickapeppa,0.778292069,,,,,,,,,
530,jamaican,berry,0.771627306,,,,,,,,,
531,jamaican,ketchup,0.767574672,,,,,,,,,
532,jamaican,ginger,0.75595532,,,,,,,,,
533,jamaican,spice,0.754207338,,,,,,,,,
